23403	29.000000	-0.000000
46807	29.000000	-0.000000
70211	29.000000	-0.000000
93615	29.000000	-0.000000
117019	29.000000	-0.000000
140423	29.000000	-0.000000
163827	29.000000	-0.000000
187231	29.000000	-0.000000
210635	29.000000	-0.000000
234039	29.000000	-0.000000
257443	29.000000	-0.000000
280847	29.000000	-0.000000
304251	29.000000	-0.000000
327655	29.000000	-0.000000
351059	29.000000	-0.000000
374463	29.000000	-0.000000
397867	29.000000	-0.000000
421271	29.000000	-0.000000
444675	29.000000	-0.000000
468079	29.000000	-0.000000
