7801	23.906478	0.193778
46806	0.027880	1.385152
78010	-1.202308	1.382068
101413	-2.179567	1.376082
132617	-2.356176	1.375293
156020	-3.141864	1.370204
187224	-3.259397	1.368965
210627	-3.647751	1.364966
241831	-3.847772	1.363643
273035	-3.926642	1.363235
296438	-4.256410	1.361315
327642	-4.465599	1.358338
358846	-4.534408	1.357376
382249	-4.647603	1.356190
413453	-4.878025	1.352768
444657	-4.938086	1.352093
475861	-4.981050	1.351206
507065	-5.015511	1.350970
538269	-5.047116	1.350292
569473	-5.076796	1.349988
600677	-5.106237	1.349407
631881	-5.135898	1.349066
663085	-5.164815	1.348495
702090	-5.212953	1.347957
733294	-5.242748	1.347162
764498	-5.270122	1.347017
795702	-5.296954	1.346282
842508	-5.319795	1.346115
865911	-5.474478	1.342708
904916	-5.547337	1.342788
936120	-5.577716	1.341434
982926	-5.619915	1.341100
1014130	-5.640172	1.341111
1045334	-5.659980	1.340502
1076538	-5.678725	1.340621
1107742	-5.695684	1.339887
1154548	-5.716769	1.339802
1193553	-5.769609	1.339444
1240359	-5.792659	1.338862
1271563	-5.810769	1.338460
1302767	-5.829508	1.338377
1333971	-5.849619	1.337874
1365175	-5.866825	1.337928
1396379	-5.884142	1.337387
1427583	-5.899024	1.337660
1474389	-5.917115	1.337164
1505593	-5.945899	1.336582
1536797	-5.962039	1.336690
1568001	-5.978010	1.336157
1599205	-5.993780	1.336319
1630409	-6.009312	1.335721
1661613	-6.024280	1.335968
1708419	-6.038011	1.335560
1731822	-6.215585	1.332911
1763026	-6.229257	1.333754
1809832	-6.257836	1.332980
1841036	-6.270183	1.332491
1872240	-6.281863	1.332771
1903444	-6.290438	1.332109
1934648	-6.299591	1.332742
1981454	-6.318097	1.332185
2012658	-6.331997	1.331691
2043862	-6.340979	1.332142
2075066	-6.348219	1.331350
2106270	-6.362755	1.331911
2153076	-6.378085	1.331422
2184280	-6.389934	1.331085
2215484	-6.401609	1.331165
2246688	-6.414056	1.330682
2277892	-6.423903	1.331063
2324698	-6.435083	1.330675
2348101	-6.459964	1.329649
2394907	-6.549005	1.328914
2426111	-6.555509	1.329624
2472917	-6.572623	1.329072
2504121	-6.582516	1.328599
2535325	-6.589854	1.329055
2566529	-6.597709	1.328317
2613335	-6.610426	1.328380
2644539	-6.622955	1.328522
2675743	-6.630735	1.327959
